Date,Year,Magnitude,Depth,City,Season,Region
03/02/2002,2002,5.0,11.4,Afyonkarahisar,Kış,Ege
03/02/2002,2002,5.0,8.7,Afyonkarahisar,Kış,Ege
03/02/2002,2002,5.2,5.9,Afyonkarahisar,Kış,Ege
03/02/2002,2002,6.1,9.6,Afyonkarahisar,Kış,Ege
31/10/2001,2001,5.0,11.3,Osmaniye,Sonbahar,Akdeniz
30/10/2001,2001,5.3,27.0,Antalya,Sonbahar,Akdeniz
25/09/2001,2001,5.0,14.0,Antalya,Sonbahar,Akdeniz
26/08/2001,2001,5.1,11.0,Düzce,Yaz,Karadeniz
25/06/2001,2001,5.1,10.9,Osmaniye,Yaz,Akdeniz
10/06/2001,2001,5.5,10.8,İzmir,Yaz,Ege
15/12/2000,2000,5.6,10.5,Afyonkarahisar,Kış,Ege
15/11/2000,2000,5.4,10.9,Van,Sonbahar,Doğu Anadolu
23/08/2000,2000,5.4,9.1,Sakarya,Yaz,Marmara
13/06/2000,2000,5.1,30.7,Muğla,Yaz,Ege
09/06/2000,2000,5.0,22.7,Çankırı,Yaz,İç Anadolu
06/06/2000,2000,5.9,10.5,Çankırı,Yaz,İç Anadolu
21/04/2000,2000,5.0,6.8,Denizli,İlkbahar,Ege
14/02/2000,2000,5.1,7.4,Bolu,Kış,Karadeniz
19/11/1999,1999,5.0,8.3,Düzce,Sonbahar,Karadeniz
17/11/1999,1999,5.0,3.1,Düzce,Sonbahar,Karadeniz
12/11/1999,1999,5.0,10.4,Düzce,Sonbahar,Karadeniz
12/11/1999,1999,5.2,8.12,Düzce,Sonbahar,Karadeniz
12/11/1999,1999,7.2,11.0,Düzce,Sonbahar,Karadeniz
11/11/1999,1999,5.7,8.9,Kocaeli,Sonbahar,Marmara
05/10/1999,1999,5.0,20.5,Muğla,Sonbahar,Ege
21/09/1999,1999,5.0,20.9,Tekirdağ,Sonbahar,Marmara
13/09/1999,1999,5.7,4.3,Kocaeli,Sonbahar,Marmara
31/08/1999,1999,5.2,10.5,Kocaeli,Yaz,Marmara
19/08/1999,1999,5.1,32.0,Bursa,Yaz,Marmara
17/08/1999,1999,7.4,15.9,Kocaeli,Yaz,Marmara
06/04/1999,1999,5.3,15.5,Sivas,İlkbahar,İç Anadolu
